username,bonus_template_name,amount_deposited,num_deposits,num_bets,all_stake_total
BETR27946762,WOODS230222_Ajax,1411,85,85,21
BETR86787948,,20,1,1,1
BETR38746559,WOODS230222_Ajax,125,10,10,16
BETR88947852,WOODS230222_Ajax,450,45,45,90.21
BETR72385288,WOODS230222_Ajax,1900,95,95,104.78
BETR72662556,WOODS230222_Ajax,4095,504,504,640
BETR24277272,WOODS230222_Ajax,100,5,5,5
BETR28869633,WOODS230222_Ajax,140,7,7,20
BETR32384597,WOODS230222_Ajax,20,1,1,1
BETR74759278,WOODS230222_Ajax,40,2,2,20
BETR83249463,WOODS230222_Ajax,780,39,39,82.89
BETR32288895,WOODS230222_Ajax,20,1,1,1
BETR53864436,WOODS230222_Ajax,225,9,9,26.1
BETR45243782,WOODS230222_Ajax,20,1,1,1
BETR32329666,WOODS230222_Ajax,287,23,23,23
BETR69798879,WOODS230222_Ajax,20,1,1,1
BETR44777257,WOODS230222_Ajax,60,3,3,20
BETR66965540,WOODS230222_Ajax,20,1,1,1
BETR57997888,WOODS230222_Ajax,200,4,4,4
BETR87999630,WOODS230222_Ajax,120,6,6,20
BETR86846461,WOODS230222_Ajax,20,1,1,1
BETR95566541,WOODS230222_Ajax,320,16,16,39.58
BETR45769442,WOODS230222_Ajax,480,16,16,54.45
BETR76465870,WOODS230222_Ajax,1300,52,52,81.28
BETR68987540,WOODS230222_Ajax,120,6,6,20
BETR98674533,WOODS230222_Ajax,280,14,14,30
BETR98344733,WOODS230222_Ajax,120,6,6,20
BETR32244259,WOODS230222_Ajax,120,6,6,30
BETR23484381,WOODS230222_Ajax,40,2,2,20
BETR47638937,WOODS230222_Ajax,80,4,4,15
BETR28626762,WOODS230222_Ajax,100,5,5,20
BETR42363926,WOODS230222_Ajax,100,5,5,20
BETR95854426,WOODS230222_Ajax,40,2,2,20
BETR66384273,WOODS230222_Ajax,20,1,1,1
BETR53357594,WOODS230222_Ajax,2760,276,276,129.03
BETR26866740,WOODS230222_Ajax,84,4,4,6
BETR73239689,WOODS230222_Ajax,60,3,3,20
BETR26677667,WOODS230222_Ajax,60,3,3,11
BETR52439963,WOODS230222_Ajax,20,1,1,1
BETR54865227,WOODS230222_Ajax,60,3,3,20
BETR39865839,WOODS230222_Ajax,950,57,57,156.96
BETR59682898,WOODS230222_Ajax,6240,312,312,169.34
BETR75867422,WOODS230222_Ajax,20,1,1,1
BETR69586933,WOODS230222_Ajax,1710,114,114,16.32
BETR26274644,WOODS230222_Ajax,684,27,27,12
BETR73947256,WOODS230222_Ajax,420,21,21,28
BETR73478798,WOODS230222_Ajax,60,3,3,7
BETR84377226,WOODS230222_Ajax,768,24,24,12
BETR89632566,WOODS230222_Ajax,20,1,1,1
BETR89989431,WOODS230222_Ajax,20,1,1,1
BETR43369682,WOODS230222_Ajax,20,1,1,1
BETR47347747,WOODS230222_Ajax,20,1,1,1
BETR78243469,WOODS230222_Ajax,640,32,32,10
BETR79594638,WOODS230222_Ajax,2436,84,84,186.8
BETR97652242,WOODS230222_Ajax,75,3,3,3
BETR84655799,WOODS230222_Ajax,12720,636,636,933.51
BETR23522830,WOODS230222_Ajax,150,3,3,16
BETR88399873,WOODS230222_Ajax,20,1,1,1
BETR75896873,WOODS230222_Ajax,80,4,4,4
BETR68538520,WOODS230222_Ajax,400,8,8,50
BETR32479767,WOODS230222_Ajax,13640,308,308,784.21
BETR39772359,WOODS230222_Ajax,320,16,16,3
BETR82392498,WOODS230222_Ajax,40,2,2,20
BETR85963657,WOODS230222_Ajax,130,3,3,3
BETR42579334,WOODS230222_Ajax,380,19,19,20
BETR62447934,WOODS230222_Ajax,160,8,8,19
BETR24858280,WOODS230222_Ajax,1080,32,32,400
BETR72999263,WOODS230222_Ajax,20,1,1,1
BETR27595557,WOODS230222_Ajax,720,36,36,40
BETR79723533,WOODS230222_Ajax,3500,35,35,100
BETR42632572,WOODS230222_Ajax,2295,119,119,248.5
BETR82627347,WOODS230222_Ajax,60,3,3,11
BETR83345455,WOODS230222_Ajax,1440,108,108,135
BETR48998573,WOODS230222_Ajax,200,10,10,7.19
BETR44488757,WOODS230222_Ajax,60,3,3,19
BETR47232685,WOODS230222_Ajax,2480,124,124,111.36
BETR56728766,WOODS230222_Ajax,60,3,3,20
BETR57968635,WOODS230222_Ajax,1080,54,54,25
BETR88265482,WOODS230222_Ajax,48825,620,620,302.76
BETR37897641,WOODS230222_Ajax,220,11,11,30
BETR58927945,WOODS230222_Ajax,20,1,1,1
BETR32392981,WOODS230222_Ajax,20,1,1,1
BETR48576498,WOODS230222_Ajax,111,6,6,6
BETR94735542,WOODS230222_Ajax,200,10,10,20
BETR47345644,WOODS230222_Ajax,500,30,30,9
BETR69588272,WOODS230222_Ajax,5280,264,264,630.06
BETR83646477,WOODS230222_Ajax,60,1,1,1
BETR45589699,WOODS230222_Ajax,80,4,4,20
BETR37847950,WOODS230222_Ajax,140,7,7,20
BETR27547327,WOODS230222_Ajax,20,1,1,1
BETR26793534,WOODS230222_Ajax,2100,63,63,45.72
BETR55943832,WOODS230222_Ajax,20,1,1,1
BETR99382949,WOODS230222_Ajax,180,9,9,38.59
BETR49626383,WOODS230222_Ajax,20,1,1,1
BETR28482450,WOODS230222_Ajax,1930,70,70,260.05
BETR48726589,WOODS230222_Ajax,20,1,1,1
BETR82839221,WOODS230222_Ajax,1140,57,57,54.36
BETR69973559,WOODS230222_Ajax,160,8,8,47.92
BETR49638690,WOODS230222_Ajax,20,1,1,1
BETR28337873,WOODS230222_Ajax,20,1,1,1
BETR63529752,WOODS230222_Ajax,40,2,2,3
BETR27225256,WOODS230222_Ajax,320,16,16,32
BETR62998849,WOODS230222_Ajax,160,8,8,20
BETR47735728,WOODS230222_Ajax,460,23,23,25
BETR73558735,WOODS230222_Ajax,20,1,1,1
BETR89556466,WOODS230222_Ajax,325,20,20,20
BETR34663874,WOODS230222_Ajax,20,1,1,1
BETR53262256,WOODS230222_Ajax,5800,232,232,340.58
BETR26635322,WOODS230222_Ajax,440,40,40,120
BETR79487541,WOODS230222_Ajax,40,2,2,11
BETR42347940,WOODS230222_Ajax,160,8,8,78.44
BETR29664336,WOODS230222_Ajax,180,9,9,20
BETR53977693,WOODS230222_Ajax,260,13,13,25
BETR38635273,WOODS230222_Ajax,1215,108,108,176.08
BETR24344554,WOODS230222_Ajax,20,1,1,1
BETR55258622,WOODS230222_Ajax,20,1,1,1
BETR28543298,WOODS230222_Ajax,7260,110,110,813.4
BETR54894371,WOODS230222_Ajax,20,1,1,1
BETR86525441,WOODS230222_Ajax,620,31,31,43.01
BETR77767621,WOODS230222_Ajax,100,8,8,30
BETR48682847,WOODS230222_Ajax,40,2,2,19
BETR38238825,WOODS230222_Ajax,5440,510,510,501.66
BETR74454722,WOODS230222_Ajax,51,2,2,2
BETR27972594,WOODS230222_Ajax,100,5,5,20
BETR86259889,WOODS230222_Ajax,40,2,2,3
BETR65283782,WOODS230222_Ajax,50,4,4,4
BETR79836264,WOODS230222_Ajax,1000,50,50,393.59
BETR67668945,WOODS230222_Ajax,6350,170,170,255
BETR59256242,WOODS230222_Ajax,60,3,3,20
BETR22232563,WOODS230222_Ajax,20,1,1,1
BETR48325584,WOODS230222_Ajax,40,2,2,2
BETR77366763,WOODS230222_Ajax,280,7,7,40
BETR83524591,WOODS230222_Ajax,6290,204,204,444
BETR52844453,WOODS230222_Ajax,105,5,5,27
BETR27973683,WOODS230222_Ajax,20,1,1,1
BETR34693376,WOODS230222_Ajax,100,5,5,10
BETR64696569,WOODS230222_Ajax,420,28,28,104
BETR43474393,WOODS230222_Ajax,40,2,2,20
BETR66482849,WOODS230222_Ajax,9266,820,820,1568.3
BETR47829274,WOODS230222_Ajax,20,1,1,1
BETR84565555,WOODS230222_Ajax,95,3,3,3
BETR26987971,WOODS230222_Ajax,800,32,32,80
BETR46297647,WOODS230222_Ajax,60,3,3,10
BETR36835392,WOODS230222_Ajax,60,3,3,20
BETR38894427,WOODS230222_Ajax,60,3,3,20
BETR77244429,WOODS230222_Ajax,40,2,2,19
BETR45543998,WOODS230222_Ajax,60,3,3,6
BETR55935677,WOODS230222_Ajax,480,24,24,10
BETR23743433,WOODS230222_Ajax,325,13,13,30
BETR92265799,WOODS230222_Ajax,440,22,22,68.05
BETR85275279,WOODS230222_Ajax,460,23,23,36
BETR92545778,WOODS230222_Ajax,80,4,4,20
BETR79735796,WOODS230222_Ajax,260,13,13,13
BETR37528521,WOODS230222_Ajax,98735,1456,1456,1311.84
BETR84567979,WOODS230222_Ajax,50,2,2,4
BETR77487598,WOODS230222_Ajax,20,1,1,1
BETR43722937,WOODS230222_Ajax,20,1,1,1
BETR44278495,WOODS230222_Ajax,5265,312,312,1322.16
BETR74353346,WOODS230222_Ajax,320,16,16,12
BETR39488540,WOODS230222_Ajax,600,30,30,29
BETR92752855,WOODS230222_Ajax,1260,144,144,88
BETR34887331,WOODS230222_Ajax,1080,54,54,17.19
BETR48339352,WOODS230222_Ajax,910,52,52,140
BETR77756526,WOODS230222_Ajax,285,24,24,160
BETR73228997,WOODS230222_Ajax,120,6,6,6
BETR43258832,WOODS230222_Ajax,40,2,2,20
BETR73838585,WOODS230222_Ajax,210,9,9,18.96
BETR32933849,WOODS230222_Ajax,60,3,3,7
BETR42452583,WOODS230222_Ajax,8455,623,623,3713.92
BETR47223843,WOODS230222_Ajax,660,9,9,60
BETR24525663,WOODS230222_Ajax,20,1,1,1
BETR28779598,WOODS230222_Ajax,60,2,2,11
BETR74794491,WOODS230222_Ajax,200,5,5,40
BETR78947961,WOODS230222_Ajax,1520,76,76,179.92
BETR45265333,WOODS230222_Ajax,100,5,5,11
BETR59858422,WOODS230222_Ajax,5490,366,366,186
BETR67368982,WOODS230222_Ajax,120,6,6,20
BETR82223532,WOODS230222_Ajax,5544,88,88,452.1
BETR29676988,WOODS230222_Ajax,40,2,2,20
BETR56799322,WOODS230222_Ajax,180,9,9,20
BETR73243457,WOODS230222_Ajax,1180,59,59,61.25
BETR26328958,WOODS230222_Ajax,21,1,1,1
BETR75589935,WOODS230222_Ajax,200,4,4,4
BETR25994895,WOODS230222_Ajax,560,40,40,131.25
BETR28396252,WOODS230222_Ajax,39,2,2,2
BETR63465548,WOODS230222_Ajax,150,5,5,21
BETR24792652,WOODS230222_Ajax,1430,78,78,6.78
BETR62765885,WOODS230222_Ajax,165,6,6,6
BETR86977349,WOODS230222_Ajax,100,3,3,3
BETR53435766,WOODS230222_Ajax,20,1,1,1
BETR38453686,WOODS230222_Ajax,39,2,2,2
BETR38463296,WOODS230222_Ajax,1130,40,40,180
BETR62627527,WOODS230222_Ajax,160,8,8,26
BETR54332569,WOODS230222_Ajax,920,46,46,354.88
BETR48243468,WOODS230222_Ajax,40,2,2,20
BETR66854646,WOODS230222_Ajax,2640,180,180,1124.28
BETR85829670,WOODS230222_Ajax,420,24,24,6.8
BETR76563842,WOODS230222_Ajax,20,1,1,1
BETR32792637,WOODS230222_Ajax,200,10,10,80
BETR93668698,WOODS230222_Ajax,660,15,15,105
BETR88259832,WOODS230222_Ajax,3000,375,375,166.3
BETR62999747,WOODS230222_Ajax,60,3,3,7
BETR33436233,WOODS230222_Ajax,480,24,24,40
BETR76696281,WOODS230222_Ajax,140,7,7,8.7
BETR79453249,WOODS230222_Ajax,925,27,27,27
BETR43326920,WOODS230222_Ajax,150,6,6,16
BETR27226796,WOODS230222_Ajax,20,1,1,1
BETR93766394,WOODS230222_Ajax,240,12,12,35.95
BETR98884673,WOODS230222_Ajax,20,1,1,1
BETR57789650,WOODS230222_Ajax,231,11,11,69.5
BETR68528477,WOODS230222_Ajax,60,3,3,20
BETR93535624,WOODS230222_Ajax,116,6,6,60
BETR35598885,WOODS230222_Ajax,40,2,2,20
BETR42853342,WOODS230222_Ajax,1500,100,100,40
BETR95659243,WOODS230222_Ajax,40,2,2,20
BETR23643252,WOODS230222_Ajax,20,1,1,1
BETR68398230,WOODS230222_Ajax,20,1,1,1
BETR73498277,WOODS230222_Ajax,410,15,15,135
BETR46469549,WOODS230222_Ajax,37136,2532,2532,3463.68
BETR36526856,WOODS230222_Ajax,1860,93,93,23
BETR94784786,WOODS230222_Ajax,390,18,18,33
BETR65358398,WOODS230222_Ajax,20,1,1,1
BETR47962735,WOODS230222_Ajax,20,1,1,1
BETR96853237,WOODS230222_Ajax,60,3,3,20
BETR87325392,WOODS230222_Ajax,58,3,3,3
BETR86628531,WOODS230222_Ajax,9120,288,288,766.8
BETR44739729,WOODS230222_Ajax,10440,1392,1392,161.6
BETR86267853,WOODS230222_Ajax,600,30,30,20
BETR96257998,WOODS230222_Ajax,330,15,15,96
BETR86974782,WOODS230222_Ajax,572,44,44,24
BETR52299673,WOODS230222_Ajax,400,20,20,20
BETR84947467,WOODS230222_Ajax,180,9,9,20
BETR25945866,WOODS230222_Ajax,400,20,20,90
BETR98766856,WOODS230222_Ajax,160,8,8,7.38
BETR25679228,WOODS230222_Ajax,22100,255,255,2790
BETR85936453,WOODS230222_Ajax,30,3,3,3
BETR87252575,WOODS230222_Ajax,20,1,1,1
BETR26837283,WOODS230222_Ajax,180,9,9,20
BETR57878255,WOODS230222_Ajax,20,1,1,1
BETR86659443,WOODS230222_Ajax,55,3,3,3
BETR63346823,WOODS230222_Ajax,20,1,1,1
BETR27663331,WOODS230222_Ajax,60,3,3,20
BETR67465353,WOODS230222_Ajax,40,2,2,2
BETR73425372,WOODS230222_Ajax,165,4,4,4
BETR56922720,WOODS230222_Ajax,680,12,12,120
BETR23274548,WOODS230222_Ajax,280,14,14,37
BETR89982227,WOODS230222_Ajax,335,22,22,22
